review_id,review_text,category
0fc651bfdd38a3b4ba19ef9d0d1e92e3,tenang inap layan bantu bandung wisata obyek bersih ramah suasana lokasi,1
7d8cb2e465c5602e51c1ba8710e8ff16,kursi rokok lantai sedia heater dispenser kamar duduk,0
1f4447c73e5e1aac462d05b0ecbd5a55,kasih depan mohon maklumin lantai superior kotor baik mandi nyamuk murah kamar double bau sarang pesan,0
b9aefbfb0debbfff43f8b268c82b43c0,kasur jorok handuk ganti bersih,0
e2afef18bd695fae43d4d53b8c547bd4,bocor,0
a45d79bde831ad1306adbd8ffb5d3d50,layan bersih kerapihan,0
ecdf90bd55184829caae18e5423a2e53,bantal bau tidur,0
b0a8cb904f0536dca57bd5be090e510c,sayang kutang layan bagus makan wifinya bersih,1
c2dd2ab5fd6880dc2ca8c3901f88dc53,bersih kecoa kamar perhati,0
4018a964e23acd6f0363fda9cbbc92ec,mandi kamar banjir,0
1b5c20dacda39afbd50f295d0f5e96d6,hibak jaga untung sarang ranjang anak tilam tidur kepala kamar pindah bersih nyaman pempijit betiga,0
0669b84a32d01e54e73a1499b2efaf8b,ribet layan nginap rekomen dsini ramah administrasi,0
d6fd462ba09d87510ac1d767b68d1d68,hotel renang deket indomaret layan banget makan remomended murah nyaman pokok bersih kolam manado,1
0ce78b57274ab55b29860f62f16ebfbb,hotel inap gempa bikin pusat strategis lombok roomnya banget takut tingkat dapat double bersih nyaman pesan lokasi,1
4bc27499e7c8b38b07c799d87fceb7ac,inap sinyal internet pada dalam,0
ee25ccb26538dabf5c206b5236cb0435,nyaman ribut,0
5c2fa1744cbf39b8dbce7563cbd0e31a,dingin banget,0
3a9c7e4029894b032cb316c7a7bbd882,layan check tilam standar bagus double mati,0
c79e05970abd5408cb156b7972fd5954,sarap sesuai kamar buruk berisik pesan,0
48f0255621502e3f91be694496e03355,bersih kitchen wastafel toilet bathmed,0
b36ad2671426885d955f3cb4468b2d40,tugas responsif perhati wastafel tolong direspon buntu payah,0
98fe40b58cfa1bba42c485df6120e48f,nginap kosong,0
