,review_id,review_text,category
0,0fc651bfdd38a3b4ba19ef9d0d1e92e3,wisata bandung inap obyek lokasi bantu bersih ramah tenang layan suasana,1
1,7d8cb2e465c5602e51c1ba8710e8ff16,kamar kursi rokok sedia dispenser duduk lantai tidak heater,0
2,1f4447c73e5e1aac462d05b0ecbd5a55,kamar double kasih kotor murah mandi mohon superior maklumin depan bau baik nyamuk lantai sarang pesan,0
3,b9aefbfb0debbfff43f8b268c82b43c0,jorok bersih ganti handuk kasur tidak,0
4,e2afef18bd695fae43d4d53b8c547bd4,bocor,0
5,a45d79bde831ad1306adbd8ffb5d3d50,layan bersih kerapihan,0
6,ecdf90bd55184829caae18e5423a2e53,bau bantal tidur tidak,0
7,b0a8cb904f0536dca57bd5be090e510c,wifinya bagus sayang kutang bersih layan makan,1
8,c2dd2ab5fd6880dc2ca8c3901f88dc53,bersih kamar kecoa perhati,0
9,4018a964e23acd6f0363fda9cbbc92ec,kamar banjir mandi,0
10,1b5c20dacda39afbd50f295d0f5e96d6,pempijit kepala betiga jaga kamar untung pindah nyaman tilam bersih hibak ranjang anak tidur sarang,0
11,0669b84a32d01e54e73a1499b2efaf8b,administrasi nginap ramah rekomen dsini layan ribet tidak,0
12,d6fd462ba09d87510ac1d767b68d1d68,deket renang murah hotel banget nyaman bersih manado remomended pokok kolam layan makan indomaret,1
13,0ce78b57274ab55b29860f62f16ebfbb,gempa double takut pusat lombok inap bikin lokasi hotel banget nyaman dapat bersih roomnya tingkat pesan strategis,1
14,4bc27499e7c8b38b07c799d87fceb7ac,internet dalam inap sinyal tidak pada,0
15,ee25ccb26538dabf5c206b5236cb0435,nyaman ribut,0
16,5c2fa1744cbf39b8dbce7563cbd0e31a,banget dingin,0
17,3a9c7e4029894b032cb316c7a7bbd882,check mati double bagus tilam layan standar,0
18,c79e05970abd5408cb156b7972fd5954,sarap kamar buruk berisik pesan sesuai tidak,0
19,48f0255621502e3f91be694496e03355,wastafel kitchen bathmed bersih tidak toilet,0
20,b36ad2671426885d955f3cb4468b2d40,perhati wastafel tugas responsif direspon tolong buntu payah,0
21,98fe40b58cfa1bba42c485df6120e48f,kosong nginap,0
22,0abcdf05e0753ff596f41ced4ced534a,njeblosssss kasure,0
23,0eb653b958e8e985ac3be3e64d87beb5,kamar kotor kecewa kes mandi bersih overall,0
24,f32075105d30cd62009afd7a1998d764,kamar lantai lembab sih gampang ranjang makan tidak bawah,0
25,bc835664eafe1b4ec070a9ad3c477fc8,kasur pendek,0
26,6fe1f44af526b3ba04745cd761bc07dd,kamar murah kotor panas bagus mandi lengkap kulkas kecoa sambut masuk fasilitas interior termos harga brankas,0
27,41065c060d1e1540c5e6f1dd1155227f,colok charge anjing jalan,0
28,f95c715acd1912c10dbe0f27f3bbd81c,lembab kamar lokasi,1
29,30c1e157360440ddb26e2baf28300864,doang lengkap sempit pouch breakfast kontrol kamar resepsionis konfirmasi minum selai dingin pusat dua istri kasih leluasa single banget mandi suhu nyamuk standar pesan,0
30,ef437bd9ee3d67713d02762a08f1f266,kamar standart complain tempat kumuh pindah lumayan cepat signal tanggap kondisi jadul lantai receptionist tidak,0
31,fc7ebe28125cc63e98c06524b8b46ad7,kamar macet mandi selimut pintu tidak,0
32,3cd664375a76f27974f0a8675face54c,emang kecewa lemari respon inti cabut charger bilang komplain,0
33,18d92495ba9f95fa27a739eeeb01d031,untung lumayan selimut breakfastnya layan tidur,0
34,bd63a421291d1362fb8a2469c876c4ab,handuk,0
35,bb1228cd7d2a5bc69d3984e57af3af8f,inap kecewa office bercak mesti kunci return darah alas pintu customer check service periksa paksa sangkut isi guests front selimut occupy,0
36,7c11c31dd1ff0b0461d922c0352778e1,wifinya fungsi,0
